"(0, 2)",40,47
"(1, 2)",50,46
"(1, 1)",50,45
"(2, 1)",50,44
"(1, 1)",70,49
"(1, 2)",120,48
"(1, 3)",100,47
"(1, 4)",110,46
"(1, 5)",120,51
"(2, 5)",160,50
"(3, 5)",130,49
"(4, 5)",160,46
"(4, 4)",150,45
"(3, 4)",180,44
"(3, 3)",210,43
"(2, 3)",200,42
"(3, 3)",210,41
"(3, 4)",190,40
"(3, 4)",210,40
"(3, 4)",260,40
"(4, 4)",220,43
"(4, 3)",260,42
"(4, 2)",290,45
"(5, 2)",260,44
"(5, 1)",290,43
"(5, 0)",320,42
"(5, 1)",290,41
"(5, 2)",290,40
"(5, 2)",320,40
"(5, 2)",310,40
"(4, 2)",350,35
"(4, 3)",380,34
"(4, 4)",370,33
"(3, 4)",400,32
"(3, 3)",410,31
"(2, 3)",420,30
"(3, 3)",390,29
"(3, 4)",440,28
"(3, 5)",420,27
"(2, 5)",410,26
"(1, 5)",470,25
"(1, 4)",450,24
"(1, 4)",440,24
"(1, 5)",450,15
"(2, 5)",470,14
"(3, 5)",520,13
"(4, 5)",490,12
"(4, 4)",520,11
"(4, 3)",550,10
"(5, 3)",560,9
"(5, 4)",520,8
"(5, 5)",530,7
"(5, 4)",560,6
"(5, 3)",580,5
"(4, 3)",610,4
"(4, 4)",600,3
"(3, 4)",600,2
"(3, 3)",620,1
"(2, 3)",620,0
